candle_idx,direction,confidence,entry_price,exit_price,win
1639,BUY,0.9415,1.15291,1.15291,False
1640,PUT,0.8856,1.15294,1.15294,True
1641,PUT,0.967,1.15294,1.15291,True
1642,BUY,0.9615,1.15291,1.15295,True
1643,PUT,0.9371,1.15294,1.15291,True
1644,BUY,0.9546,1.15291,1.15295,True
1645,PUT,0.9451,1.15295,1.15291,True
1646,BUY,0.9558,1.15291,1.15359,True
1647,PUT,0.8068,1.15295,1.15306,False
1648,BUY,0.9525,1.15291,1.15296,True
1649,PUT,0.8542,1.15359,1.15295,True
1650,PUT,0.8839,1.15306,1.15292,True
1651,PUT,0.9346,1.15296,1.15295,True
1652,PUT,0.8884,1.15295,1.15291,True
1653,BUY,0.8014,1.15292,1.15294,True
1654,PUT,0.9627,1.15295,1.15291,True
1655,BUY,0.9099,1.15291,1.15295,True
1656,PUT,0.9422,1.15294,1.15291,True
1657,BUY,0.9536,1.15291,1.15294,True
1658,PUT,0.9514,1.15295,1.15292,True
1659,BUY,0.9589,1.15291,1.15294,True
1661,BUY,0.7134,1.15292,1.15291,False
1662,BUY,0.8029,1.15294,1.15295,True
1663,PUT,0.8458,1.15294,1.15291,True
1664,BUY,0.9679,1.15291,1.15295,True
1665,PUT,0.9725,1.15295,1.15291,True
1666,BUY,0.9616,1.15291,1.15294,True
1667,PUT,0.9727,1.15295,1.15294,True
1668,BUY,0.9427,1.15291,1.15294,True
1670,PUT,0.7965,1.15294,1.15291,True
1671,BUY,0.8275,1.15294,1.15321,True
1673,BUY,0.9758,1.15291,1.15296,True
1674,PUT,0.9644,1.15321,1.15293,True
1675,PUT,0.9513,1.15306,1.15296,True
1676,PUT,0.9003,1.15296,1.15292,True
1677,BUY,0.8284,1.15293,1.15293,False
1678,PUT,0.9429,1.15296,1.15294,True
1679,BUY,0.8973,1.15292,1.15292,False
1681,PUT,0.9423,1.15294,1.15291,True
1682,BUY,0.93,1.15292,1.15295,True
1683,PUT,0.9072,1.15294,1.15291,True
1684,BUY,0.9593,1.15291,1.15295,True
1685,PUT,0.9611,1.15295,1.15291,True
1686,BUY,0.9601,1.15291,1.15293,True
1687,PUT,0.9501,1.15295,1.15292,True
1688,BUY,0.9628,1.15291,1.15292,True
1689,BUY,0.7503,1.15293,1.15293,False
1690,PUT,0.6071,1.15292,1.15291,True
1691,BUY,0.8368,1.15292,1.15293,True
1692,PUT,0.6843,1.15293,1.1529,True
1693,BUY,0.9596,1.15291,1.15293,True
1694,PUT,0.7833,1.15293,1.1529,True
1695,BUY,0.9712,1.1529,1.15293,True
1696,PUT,0.6469,1.15293,1.15291,True
1697,BUY,0.976,1.1529,1.1532,True
1698,BUY,0.6854,1.15293,1.15303,True
1699,BUY,0.8973,1.15291,1.15299,True
1700,PUT,0.9648,1.1532,1.15296,True
1701,PUT,0.9171,1.15303,1.15294,True
1702,PUT,0.8933,1.15299,1.15299,True
1703,PUT,0.8579,1.15296,1.1528,True
1704,PUT,0.6779,1.15294,1.15289,True
1705,PUT,0.9839,1.15299,1.15292,True
1706,BUY,0.6526,1.1528,1.15291,True
1707,BUY,0.6548,1.15289,1.15293,True
